注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
99843839,2024.07.10 00:02:02,balance,0.01,,0,0,0,2024.07.10 00:02:02,0,0,0,0,563,,RO 99833671 B 0.22 USDJPY
99843840,2024.07.10 00:02:02,balance,0.01,,0,0,0,2024.07.10 00:02:02,0,0,0,0,512,,RO 99834949 B 0.20 USDJPY
99873580,2024.07.10 05:00:00,buy,0.38,USDJPY,161.538,161.257,0,2024.07.11 09:00:04,161.69,0,0,0,5776,20240512,STR01_USDJPY_H1
99886046,2024.07.10 18:00:00,buy,0.44,USDJPY,161.665,161.424,0,2024.07.11 09:00:06,161.702,0,0,0,1628,20240512,STR01_USDJPY_H1
99887268,2024.07.10 19:00:00,buy,0.34,USDJPY,161.742,161.424,0,2024.07.11 03:31:12,161.529,0,0,0,-7242,20240512,STR01_USDJPY_H1
99896999,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,2252,,RO 99833671 B 0.22 USDJPY
99897000,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,2048,,RO 99834949 B 0.20 USDJPY
99897001,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,3891,,RO 99873580 B 0.38 USDJPY
99897002,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,4505,,RO 99886046 B 0.44 USDJPY
99897003,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,3481,,RO 99887268 B 0.34 USDJPY
99942754,2024.07.11 16:00:00,sell,0.01,USDJPY,158.629,161.618,0,2024.07.11 16:02:27,158.123,0,0,0,506,20240512,to #99943477
99943477,2024.07.11 16:00:00,sell,0.01,USDJPY,158.629,157.939,0,2024.07.11 16:08:43,157.946,0,0,0,683,20240512,from #99942754[sl]
100064427,2024.07.15 20:00:00,sell,0.32,USDJPY,157.712,158.066,0,2024.07.15 23:25:36,158.066,0,0,0,-11328,20240512,STR01_USDJPY_H1[sl]
100105430,2024.07.16 04:00:00,buy,0.12,USDJPY,158.369,157.932,0,2024.07.16 15:54:50,158.873,0,0,0,6048,20240512,to #100119256
100106752,2024.07.16 05:00:00,buy,0.22,USDJPY,158.531,158.052,0,2024.07.17 05:00:00,158.472,0,0,0,-1298,20240512,STR01_USDJPY_H1
100107712,2024.07.16 06:00:00,buy,0.16,USDJPY,158.697,158.052,0,2024.07.17 05:00:02,158.471,0,0,0,-3616,20240512,STR01_USDJPY_H1
100119256,2024.07.16 04:00:00,buy,0.12,USDJPY,158.369,158.373,0,2024.07.16 21:44:15,158.372,0,0,0,36,20240512,from #100105430[sl]
100135256,2024.07.17 00:02:02,balance,0.01,,0,0,0,2024.07.17 00:02:02,0,0,0,0,479,,RO 100106752 B 0.22 USDJPY
100135257,2024.07.17 00:02:02,balance,0.01,,0,0,0,2024.07.17 00:02:02,0,0,0,0,348,,RO 100107712 B 0.16 USDJPY
100169192,2024.07.17 08:00:00,sell,0.13,USDJPY,158.218,158.625,0,2024.07.17 09:01:31,157.713,0,0,0,6565,20240512,to #100170896
100170661,2024.07.17 09:00:00,sell,0.09,USDJPY,157.873,158.476,0,2024.07.17 10:23:55,157.365,0,0,0,4572,20240512,to #100173367
100170896,2024.07.17 08:00:00,sell,0.13,USDJPY,158.218,156.604,0,2024.07.17 13:42:23,156.604,0,0,0,20982,20240512,from #100169192[sl]
100172360,2024.07.17 10:00:00,sell,0.08,USDJPY,157.818,158.449,0,2024.07.17 10:28:29,157.296,0,0,0,4176,20240512,to #100173677
